"YEAR","CASEID","SERIAL","REGION","STATEFIP","METRO","MSASIZE","COUNTY","METAREA","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","MONTH","AGE","SEX","RACE","HISPAN","ASIAN","MARST","YRIMMIG","CITIZEN","BPL","MBPL","FBPL","RELATE","EDUC","EDUCYRS","SCHLCOLL","EMPSTAT","MULTJOBS","CLWKR","OCC2","OCC","IND2","IND","RETIRED","FULLPART","UHRSWORKT","EARNWEEK","PAIDHOUR","HOURWAGE","HRSATRATE","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPNOT","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","KIDUND18","HH_NUMOWNKIDS","KIDUND13","KIDUND1","KID1TO2","KID3TO5","KID6TO12","KID13TO17","NONHHCHILD","NOSCCRSN1","SCC_ALL","SCC_OWN","SCC_HH","SCC_HHNHHOWN","DIFFANY","ECYEST","ECPRIOR","ECNUM","ECFREQ","COVIDTELEW","COVIDPAID","COVIDUNAW","COVIDLOOK","ACT_CARENHH","ACT_SOCIAL","ACT_SPORTS","ACT_WORK","adultcare","childcare","primary_childcare","routine_housework","employment","employment_di","remote_work","gender","college","age_youngestchild","race","married","education"
2021,20210101210037,1,4,8,4,0,8000,0,15,1,1,0,0,999,1,1,1,1,60,2,100,100,999,4,0,1,9900,9900,9900,10,21,112,99,1,0,4,140,4720,160,4870,99,1,40,516,1,12.9,40,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,345,0,540,0,0,0,0,"employed","employed","No","Woman","No college degree",NA,"Non-Hispanic White","not married","HS diploma, no college"
2021,20210101210081,2,2,17,1,3,17000,0,10,3,1,1,1,10,2,1,1,1,30,2,100,100,999,6,0,1,9900,9900,9900,10,32,216,1,1,0,4,140,4700,160,5480,99,2,34,573.5,1,15.5,37,2,29,1,300,100,30,1,1,27,290,1,1,1,"No","No","No","Yes","No",0,99,600,600,600,600,1,99,1,99,6,1,99,1,99,0,330,0,0,0,30,30,30,"employed","employed","No","Woman","No college degree",10,"Non-Hispanic White","not married","Some college"
2021,20210101210099,3,4,4,1,6,4013,0,15,2,1,0,0,999,2,1,1,1,43,1,100,100,999,1,0,1,9900,9900,9900,10,21,112,1,1,0,4,170,6260,120,770,99,1,40,1730.76,2,999.99,999,1,39,2,100,100,31,1,1,40,720,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,210,0,505,0,0,0,40,"employed","employed","No","Man","No college degree",NA,"Non-Hispanic White","married","HS diploma, no college"
2021,20210101210101,4,2,39,2,5,39000,1681,10,1,2,0,0,999,1,1,1,1,23,1,100,100,999,6,0,1,9900,9900,9900,10,40,217,1,1,1,4,150,5510,170,6380,99,1,43,600,2,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,99,0,330,105,180,0,0,0,60,"employed","employed",NA,"Man","College degree",NA,"Non-Hispanic White","not married","College degree+"
2021,20210101210109,5,3,13,3,3,13000,1800,5,2,2,0,0,999,2,1,1,1,20,1,100,100,999,6,0,1,9900,9900,9900,10,30,215,1,1,0,4,200,9640,170,6380,99,1,35,280,1,12.5,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,390,55,0,0,0,0,0,"employed","employed","No","Man","No college degree",NA,"Non-Hispanic White","not married","Some college"
2021,20210101210115,6,3,12,2,7,12099,5000,4,5,2,1,4,0,1,1,1,1,15,2,110,100,999,6,0,1,9900,26020,26020,10,14,109,3,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,99,99,0,615,0,0,0,0,0,0,"not in labor force","unemployed",NA,"Woman","No college degree",0,"Non-Hispanic Black","not married","Less than HS diploma"
2021,20210101210131,7,2,39,1,4,39153,1681,12,1,1,0,0,999,1,1,1,1,24,1,100,100,999,6,0,1,9900,9900,9900,10,30,214,1,1,0,4,200,9610,160,4690,99,1,40,600,1,15,40,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,680,0,0,0,0,0,0,"employed","employed","No","Man","No college degree",NA,"Non-Hispanic White","not married","Some college"
2021,20210101210139,8,2,19,2,4,19000,0,15,7,1,1,3,12,4,1,1,1,16,2,100,100,999,6,0,1,9900,9900,9900,10,15,110,3,2,0,4,190,8650,135,3570,99,2,9995,200,1,16,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,360,0,0,0,0,0,0,"employed","employed","No","Woman","No college degree",12,"Non-Hispanic White","not married","Less than HS diploma"
2021,20210101210155,9,3,48,3,2,48135,0,10,5,1,1,3,12,2,1,1,1,15,2,100,210,999,6,0,1,9900,9900,20000,10,13,107,3,4,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,99,99,0,385,0,0,0,0,0,0,"unemployed","unemployed",NA,"Woman","No college degree",12,"Hispanic","not married","Less than HS diploma"
2021,20210101210175,10,4,6,2,7,6037,4481,14,6,1,1,1,17,5,1,1,1,17,2,131,100,60,6,0,1,9900,51800,51800,10,16,111,3,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,0,1,1,2,99,99,1,1,0,90,0,0,0,0,0,45,"not in labor force","unemployed",NA,"Woman","No college degree",17,"Non-Hispanic Asian","not married","Less than HS diploma"
