"g3_id","g1_race","g1_male","g2_male","g3_male","g1_age","g2_age","g3_age","g3_edu_highest","g2_edu_highest","g1_edu_highest","g3_edu_years","g2_edu_years","g1_edu_years","g3_house_value","g2_house_value","g1_house_value","g3_poor_srh","g2_poor_srh","g1_poor_srh","g1_weight","g3_house_value_quintile","g3_house_value_percentile","g2_house_value_quintile","g2_house_value_percentile","g1_house_value_quintile","g1_house_value_percentile","n","pweight_1","id","g1_white","g1_agesq","g1_edu_cat","g2_agesq","g2_edu_cat","g3_agesq","g3_edu_cat","hs_or_less"
4031,"white",0.5,1,0,45,34.5,42,2,1,1,12,9,6.5,0,21930.0033333333,119548.969393028,1,0,0,17,0,0,1,14,3,63,1,17,4031,1,2025,"less_hs",1190.25,"less_hs",1764,"hs","less"
4036,"white",0.5,0,0,45,32.5,36,2,2,1,12,12,6.5,113931.7,156330.966666667,119548.969393028,1,0,0,17,2,35,4,76,3,63,1,17,4036,1,2025,"less_hs",1056.25,"hs",1296,"hs","less"
4032,"white",0.5,0,0,45,28.5,44,-Inf,1,1,NA,8,6.5,0,17958.6016666667,119548.969393028,0,0,0,17,0,0,1,11,3,63,1,17,4032,1,2025,"less_hs",812.25,"less_hs",1936,NA,"less"
4034,"white",0.5,0,1,45,28.5,40.5,2,1,1,12,8,6.5,0,17958.6016666667,119548.969393028,0,0,0,17,0,0,1,11,3,63,1,17,4034,1,2025,"less_hs",812.25,"less_hs",1640.25,"hs","less"
4038,"white",0.5,0,0,45,26.4,30,2,2,1,12,12,6.5,0,97375.802,119548.969393028,0,0,0,17,0,0,3,54,3,63,1,17,4038,1,2025,"less_hs",696.96,"hs",900,"hs","less"
6030,"white",0.5,0,0,48,37,43.5,4,2,2,16,12,10.5,346699.75,128899.666666667,0,0,0,0,23,4,85,3,67,0,0,1,23,6030,1,2304,"hs",1369,"hs",1892.25,"college","less"
6031,"white",0.5,0,1,48,37,43,5,2,2,17,12,10.5,575000,128899.666666667,0,0,0,0,23,4,95,3,67,0,0,1,23,6031,1,2304,"hs",1369,"hs",1849,"higher","less"
6032,"white",0.5,1,1,48,31.5,35,5,5,2,17,16.8333333333333,10.5,88038.1,141079.016666667,0,0,0,0,23,1,25,3,70,0,0,1,23,6032,1,2304,"hs",992.25,"higher",1225,"higher","less"
6033,"white",0.5,1,1,48,31.5,35,5,5,2,17,16.8333333333333,10.5,1500000,141079.016666667,0,0,0,0,23,4,97,3,70,0,0,1,23,6033,1,2304,"hs",992.25,"higher",1225,"higher","less"
6034,"white",0.5,1,1,48,31.5,31.5,5,5,2,17,16.8333333333333,10.5,216521.05,141079.016666667,0,0,0,0,23,3,66,3,70,0,0,1,23,6034,1,2304,"hs",992.25,"higher",992.25,"higher","less"
7031,"white",0.5,1,1,47,31.8333333333333,42,1,2,1,11,12,7,7500,0,92301.5869585641,0,0,0,24,1,2,0,0,2,47,1,24,7031,1,2209,"less_hs",1013.36111111111,"hs",1764,"less_hs","less"
7032,"white",0.5,1,1,47,31.8333333333333,41,1,2,1,11,12,7,0,0,92301.5869585641,0,0,0,24,0,0,0,0,2,47,1,24,7032,1,2209,"less_hs",1013.36111111111,"hs",1681,"less_hs","less"
7035,"white",0.5,1,1,47,31.8333333333333,39,1,2,1,10,12,7,0,0,92301.5869585641,1,0,0,24,0,0,0,0,2,47,1,24,7035,1,2209,"less_hs",1013.36111111111,"hs",1521,"less_hs","less"
7030,"white",0.5,0,0,47,30.5,44,2,1,1,12,9,7,0,0,92301.5869585641,1,0,0,24,0,0,0,0,2,47,1,24,7030,1,2209,"less_hs",930.25,"less_hs",1936,"hs","less"
7033,"white",0.5,0,0,47,30.5,42,1,1,1,11,9,7,0,0,92301.5869585641,0,0,0,24,0,0,0,0,2,47,1,24,7033,1,2209,"less_hs",930.25,"less_hs",1764,"less_hs","less"
7034,"white",0.5,0,0,47,30.5,41,1,1,1,11,9,7,0,0,92301.5869585641,0,0,0,24,0,0,0,0,2,47,1,24,7034,1,2209,"less_hs",930.25,"less_hs",1681,"less_hs","less"
7037,"white",0.5,0,1,47,30.5,35.5,1,1,1,10.5,9,7,0,0,92301.5869585641,0,0,0,24,0,0,0,0,2,47,1,24,7037,1,2209,"less_hs",930.25,"less_hs",1260.25,"less_hs","less"
7036,"white",0.5,1,0,47,28.5,35,2,1,1,12,10,7,0,0,92301.5869585641,0,0,0,24,0,0,0,0,2,47,1,24,7036,1,2209,"less_hs",812.25,"less_hs",1225,"hs","less"
7038,"white",0.5,1,1,47,28.5,32.5,2,1,1,12,10,7,15268.07,0,92301.5869585641,1,0,0,24,1,3,0,0,2,47,1,24,7038,1,2209,"less_hs",812.25,"less_hs",1056.25,"hs","less"
7039,"white",0.5,1,1,47,28.5,28,2,1,1,12,10,7,33214.85,0,92301.5869585641,0,0,0,24,1,7,0,0,2,47,1,24,7039,1,2209,"less_hs",812.25,"less_hs",784,"hs","less"
10006,"black",0.5,0,0,58,42.5,52,3,3,2.5,14,13.5,13.5,0,101398.598333333,17234.616766889,0,0,0,3,0,0,3,56,1,5,1,3,10006,0,3364,NA,1806.25,"some_college",2704,"some_college","more"
10007,"black",0.5,0,1,58,42.5,50,3,3,2.5,14,13.5,13.5,0,101398.598333333,17234.616766889,1,0,0,3,0,0,3,56,1,5,1,3,10007,0,3364,NA,1806.25,"some_college",2500,"some_college","more"
13030,"white",0.5,0,0,38.5,34.6666666666667,37,5,3,1.5,17,12.1666666666667,11,217505.9,242295.516666667,99523.4380578783,0,0,0,26,3,66,4,89,3,53,1,26,13030,1,1482.25,NA,1201.77777777778,"some_college",1369,"higher","more"
14030,"white",0,1,1,40.5,25.5,30.5,3,2,4,14,12,16,96608.415,0,29098.4013749256,0,0,0,26,2,29,0,0,1,12,1,26,14030,1,1640.25,"college",650.25,"hs",930.25,"some_college","more"
14031,"white",0,1,0,40.5,25.5,28,2,2,4,12,12,16,0,0,29098.4013749256,1,0,0,26,0,0,0,0,1,12,1,26,14031,1,1640.25,"college",650.25,"hs",784,"hs","more"
16030,"white",0.5,0,0,38,26.3333333333333,36,3,1,1.5,13,10,10.5,16384.0345,0,0,0,0,0,26,1,4,0,0,0,0,1,26,16030,1,1444,NA,693.444444444444,"less_hs",1296,"some_college","more"
16032,"white",0.5,0,0,38,26.3333333333333,32,2,1,1.5,12,10,10.5,127233.9,0,0,0,0,0,26,2,40,0,0,0,0,1,26,16032,1,1444,NA,693.444444444444,"less_hs",1024,"hs","more"
18038,"white",0.5,1,0,48.5,29.6666666666667,30,3,2,1.5,14,12,10,225895.55,82746.7083333333,39293.391705033,0,0,0,26,3,68,2,46,1,19,1,26,18038,1,2352.25,NA,880.111111111111,"hs",900,"some_college","more"
18030,"white",0.5,1,1,48.5,32.6666666666667,42,3,2,1.5,15,12,10,310722.8,213475.566666667,39293.391705033,0,0,0,26,4,82,4,86,1,19,1,26,18030,1,2352.25,NA,1067.11111111111,"hs",1764,"some_college","more"
18036,"white",0.5,1,0,48.5,32.6666666666667,35,5,2,1.5,17,12,10,507513.8,213475.566666667,39293.391705033,0,0,0,26,4,93,4,86,1,19,1,26,18036,1,2352.25,NA,1067.11111111111,"hs",1225,"higher","more"
18031,"white",0.5,1,0,48.5,33.8333333333333,43,-Inf,2,1.5,NA,12,10,83840.345,0,39293.391705033,0,0,0,26,1,24,0,0,1,19,1,26,18031,1,2352.25,NA,1144.69444444444,"hs",1849,NA,"more"
