"YEAR","CASEID","SERIAL","STATEFIP","METRO","METAREA","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HH_NUMKIDS","AGEYCHILD","PERNUM","LINENO","DAY","DATE","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","CITIZEN","BPL","EDUC","EDUCYRS","EMPSTAT","MULTJOBS","CLWKR","OCC2","OCC","IND2","IND","FULLPART","UHRSWORKT","EARNWEEK","PAIDHOUR","HOURWAGE","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPNOT","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","KIDUND18","HH_NUMOWNKIDS","KIDUND13","KIDUND1","KID1TO2","KID3TO5","KID6TO12","KID13TO17","SCC_ALL","SCC_HH","ECYEST","ECPRIOR","ECFREQ","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_GOVSERV","ACT_HHACT","ACT_HHSERV","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","adultcare","childcare","primary_childcare","routine_housework"
2024,20240101240005,1,5,1,4400,14,4,1,1,3,6,1,1,3,20240123,18318135.37403000,29,2,110,100,999,6,1,9900,40,217,1,0,4,150,5840,201,6992,1,40,720.0,1,18.0,3,999,99,9999,9999,999,99,99,999,99999.99,1,3,1,0,0,0,1,0,150,150,99,0,99,203,0,0,45,0,30,0,540,0,0,0,0,120,0,10,0,492,0,203,203,30
2024,20240101240020,2,12,2,5960,9,1,1,0,0,999,1,1,6,20240126,7884307.258776000,77,2,100,100,999,3,4,42500,30,213,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,90,0,125,0,480,90,60,20,0,501,0,14,60,0,0,0,0,125
2024,20240101240098,3,48,2,0,12,6,2,1,3,12,1,1,1,20240121,20930362.54437300,19,1,202,244,999,6,5,43800,21,112,1,0,4,150,5240,160,5370,2,31,400.0,1,11.72,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,66,0,30,0,770,0,0,14,0,210,0,35,0,315,0,0,0,0
2024,20240101240107,4,9,2,3284,16,2,1,0,0,999,1,1,1,20240121,6038839.236432000,23,2,100,100,999,6,1,9900,41,316,1,0,4,121,1320,135,3580,1,41,1476.92,2,999.99,1,23,1,100,100,40,1,1,45,1476.92,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,60,0,900,0,195,0,0,0,0,165,60,0,0,0,0,0,0,900
2024,20240101240123,5,39,2,0,7,2,2,1,1,1,1,1,5,20240125,8892221.310580000,22,2,100,100,999,6,1,9900,30,213,1,0,4,200,9640,170,6390,2,25,561.25,1,22.45,3,999,99,9999,9999,999,99,99,999,99999.99,1,1,1,0,1,0,0,0,307,307,99,0,99,50,0,468,20,0,87,0,510,0,0,0,0,130,0,115,0,0,0,50,50,87
2024,20240101240143,6,27,3,0,16,4,1,1,1,16,1,1,1,20240121,11469642.13455300,21,2,100,100,999,6,1,9900,32,214,1,0,3,150,5400,200,6970,1,40,1320.0,1,33.0,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,20,0,0,0,780,0,0,0,90,380,0,170,0,0,0,0,0,0
2024,20240101240167,7,48,2,0,15,2,1,0,0,999,1,1,7,20240127,10331610.69834800,22,2,100,100,999,6,1,9900,40,217,1,0,4,150,5400,160,5080,1,40,750.0,2,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,40,0,0,0,809,0,0,0,0,346,185,60,0,0,0,0,0,0
2024,20240101240176,8,12,2,5000,6,3,1,0,0,999,1,1,3,20240123,79529690.40749600,22,2,100,244,999,1,5,30025,21,112,1,1,4,134,4600,280,9290,2,9995,384.61,1,20.0,1,22,1,110,241,21,1,1,40,865.38,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,35,0,0,0,773,0,0,5,10,105,40,67,0,405,0,0,0,0
2024,20240101240219,9,53,1,7601,16,4,1,0,0,999,1,1,1,20240121,13144486.68219300,21,1,100,100,999,6,3,60094,30,215,1,0,5,150,5310,292,9170,2,9995,100.0,1,10.0,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,115,0,60,0,695,20,0,0,0,373,30,37,0,0,0,0,0,0
2024,20240101240237,10,26,4,0,16,5,1,1,1,16,1,1,6,20240126,47662545.01413300,24,1,201,100,999,6,1,9900,21,112,1,0,4,132,4140,271,8680,2,25,460.0,1,18.0,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,45,0,0,0,435,0,0,0,60,525,0,29,0,346,0,0,0,0
